feature_name,output_table,producing_notebook,source_columns,transformation_type,has_unit_test,looks_leaky
sales_lag_1d,retail_ml.demand_features,08_feature_engineering.py,gold_demand_daily_sku_store.quantity_sold,Window.lag(1) partitionBy(product_id+store_id) orderBy(date_id),no,no
sales_lag_7d,retail_ml.demand_features,08_feature_engineering.py,gold_demand_daily_sku_store.quantity_sold,Window.lag(7) partitionBy(product_id+store_id) orderBy(date_id),no,no
sales_lag_14d,retail_ml.demand_features,08_feature_engineering.py,gold_demand_daily_sku_store.quantity_sold,Window.lag(14) partitionBy(product_id+store_id) orderBy(date_id),no,no
sales_lag_28d,retail_ml.demand_features,08_feature_engineering.py,gold_demand_daily_sku_store.quantity_sold,Window.lag(28) partitionBy(product_id+store_id) orderBy(date_id),no,no
sales_lag_364d,retail_ml.demand_features,08_feature_engineering.py,gold_demand_daily_sku_store.quantity_sold,"Window.lag(364) partitionBy(product_id+store_id) orderBy(date_id); 364 not 365 to preserve day-of-week alignment",no,no
rolling_7d_avg,retail_ml.demand_features,08_feature_engineering.py,gold_demand_daily_sku_store.quantity_sold,"avg() over rowsBetween(-7,-1); current row excluded to prevent leakage",no,no
rolling_7d_std,retail_ml.demand_features,08_feature_engineering.py,gold_demand_daily_sku_store.quantity_sold,"stddev() over rowsBetween(-7,-1)",no,no
rolling_7d_min,retail_ml.demand_features,08_feature_engineering.py,gold_demand_daily_sku_store.quantity_sold,"min() over rowsBetween(-7,-1)",no,no
rolling_7d_max,retail_ml.demand_features,08_feature_engineering.py,gold_demand_daily_sku_store.quantity_sold,"max() over rowsBetween(-7,-1)",no,no
rolling_28d_avg,retail_ml.demand_features,08_feature_engineering.py,gold_demand_daily_sku_store.quantity_sold,"avg() over rowsBetween(-28,-1)",no,no
rolling_28d_std,retail_ml.demand_features,08_feature_engineering.py,gold_demand_daily_sku_store.quantity_sold,"stddev() over rowsBetween(-28,-1)",no,no
rolling_28d_median,retail_ml.demand_features,08_feature_engineering.py,gold_demand_daily_sku_store.quantity_sold,"percentile_approx(0.5) over rowsBetween(-28,-1); approximate — not exact median",no,no
rolling_90d_avg,retail_ml.demand_features,08_feature_engineering.py,gold_demand_daily_sku_store.quantity_sold,"avg() over rowsBetween(-90,-1)",no,no
rolling_90d_std,retail_ml.demand_features,08_feature_engineering.py,gold_demand_daily_sku_store.quantity_sold,"stddev() over rowsBetween(-90,-1)",no,no
revenue_rolling_28d,retail_ml.demand_features,08_feature_engineering.py,gold_demand_daily_sku_store.revenue,"avg(revenue) over rowsBetween(-28,-1); revenue = avg_selling_price×qty aggregated from transactions",no,"maybe — revenue uses same-day realized selling prices; at inference you only have planned/listed price. Moderate train/serve skew."
txn_rolling_7d,retail_ml.demand_features,08_feature_engineering.py,gold_demand_daily_sku_store.num_transactions,"avg(num_transactions) over rowsBetween(-7,-1)",no,no
txn_rolling_28d,retail_ml.demand_features,08_feature_engineering.py,gold_demand_daily_sku_store.num_transactions,"avg(num_transactions) over rowsBetween(-28,-1)",no,no
wow_growth,retail_ml.demand_features,08_feature_engineering.py,"sales_lag_7d, sales_lag_14d","(lag_7d - lag_14d) / lag_14d; NULL if lag_14d is NULL or 0",no,no
mom_growth,retail_ml.demand_features,08_feature_engineering.py,gold_demand_daily_sku_store.quantity_sold via two rolling windows,"(rolling_28d_avg - rolling_28d_avg_lagged) / rolling_28d_avg_lagged; lagged window is rowsBetween(-56,-29)",no,no
yoy_growth,retail_ml.demand_features,08_feature_engineering.py,"sales_lag_1d, sales_lag_364d","(lag_1d - lag_364d) / lag_364d; uses lag values to avoid leakage — code comment says FIXED",no,no
trend_slope_7d,retail_ml.demand_features,08_feature_engineering.py,gold_demand_daily_sku_store.quantity_sold via sub-windows,"(avg of rowsBetween(-3,-1) - avg of rowsBetween(-7,-4)) / 3.5; linear slope approximation",no,no
dow_sin,retail_ml.demand_features,08_feature_engineering.py,gold_demand_daily_sku_store.day_of_week,"sin(day_of_week × 2π/7); cyclical encoding",no,no
dow_cos,retail_ml.demand_features,08_feature_engineering.py,gold_demand_daily_sku_store.day_of_week,"cos(day_of_week × 2π/7); cyclical encoding",no,no
month_sin,retail_ml.demand_features,08_feature_engineering.py,gold_demand_daily_sku_store.month_num,"sin(month_num × 2π/12); cyclical encoding",no,no
month_cos,retail_ml.demand_features,08_feature_engineering.py,gold_demand_daily_sku_store.month_num,"cos(month_num × 2π/12); cyclical encoding",no,no
week_of_year_sin,retail_ml.demand_features,08_feature_engineering.py,date_id,"weekofyear(to_date(date_id,'yyyyMMdd')) then sin(woy×2π/52); cyclical encoding",no,no
week_of_year_cos,retail_ml.demand_features,08_feature_engineering.py,date_id,"weekofyear then cos(woy×2π/52); cyclical encoding",no,no
is_weekend,retail_gold.gold_demand_daily_sku_store → retail_ml.demand_features,"07_gold_layer.py (dim_date JOIN); 08_feature_engineering.py (cast to INT)",retail_silver.dim_date.is_weekend,pass-through from dim_date via gold layer; cast Boolean→INT,no,no
is_festival_period,retail_gold.gold_demand_daily_sku_store → retail_ml.demand_features,"07_gold_layer.py; 08_feature_engineering.py",retail_silver.dim_date.is_festival_period,pass-through; cast Boolean→INT,no,no
festival_intensity_encoded,retail_ml.demand_features,08_feature_engineering.py,gold_demand_daily_sku_store.festival_intensity,"ordinal encode: Peak=4, High=3, Medium=2, Low=1, else=0",no,no
