feature_name,output_table,producing_notebook,source_columns,transformation_type,has_unit_test,looks_leaky
days_since_purchase,retail_gold.gold_customer_360_v2,04b_generate_cx360_engagement.py,retail_silver.dim_customer.last_purchase_date + ref_date,"DATEDIFF(ref_date, last_purchase_date); ref_date='2025-12-31' hardcoded; this is also COMPONENT 1 of churn_signal (weight 0.4)",no,"yes — CRITICAL. This column is a direct input to the churn_signal formula that constructs the target variable (line 169-170: recency_norm = cx360[recency_col]/cx360[recency_col].max()). The model is trained to predict a target that is a deterministic function of this feature. AUC 0.933 is explained by this circularity."
total_transactions,retail_gold.gold_customer_360_v2,04b_generate_cx360_engagement.py,retail_silver.fact_pos_sales aggregated per customer,"COUNT(DISTINCT txn_id) per customer lifetime; also used as freq_col in churn_signal (weight 0.2)",no,"yes — CRITICAL. Frequency (total_transactions) is COMPONENT 3 of churn_signal (line 179-181: freq_norm = 1 - freq/freq.max()). Same circular prediction."
total_spend,retail_gold.gold_customer_360_v2,04b_generate_cx360_engagement.py,retail_silver.fact_pos_sales.net_amount aggregated per customer,"SUM(net_amount) per customer lifetime; not directly used in churn_signal but correlated with frequency",no,"no — not a direct input to churn_signal construction"
engagement_score_raw,retail_gold.gold_customer_360_v2,04b_generate_cx360_engagement.py,"retail_bronze.fact_customer_engagement (app sessions, web sessions, click rates)","weighted engagement composite score 0-100; this is COMPONENT 2 of churn_signal (weight 0.3)",no,"yes — CRITICAL. engagement_col directly enters churn_signal (line 173-174: engagement_norm = 1 - engagement/engagement.max()). Circular."
latest_nps_score,retail_gold.gold_customer_360_v2,04b_generate_cx360_engagement.py,retail_bronze.fact_customer_feedback.nps_score,"most recent NPS score (0-10); this is COMPONENT 4 of churn_signal (weight 0.1)",no,"yes — CRITICAL. nps_norm = 1 - (nps_col.fillna(5)/10.0) is churn_signal COMPONENT 4 (line 185). Same circular prediction. NPS is also a lagging satisfaction indicator — a churned customer may have given their NPS before leaving."
loyalty_points_balance,retail_gold.gold_customer_360_v2,04b_generate_cx360_engagement.py,retail_silver.fact_loyalty.points_earned - points_redeemed aggregated per customer,lifetime points balance; passes 50% non-null filter; not a churn_signal component,no,"no — not a direct input to churn_signal; provides marginal independent signal about engagement depth"
avg_csat_score,retail_gold.gold_customer_360_v2,04b_generate_cx360_engagement.py,retail_bronze.fact_customer_feedback.csat_score,mean CSAT score across all feedback events per customer; not a churn_signal component,no,"no — not a direct input to churn_signal; but correlated with nps_score (redundant signal)"
"NOTE: The 7 features above are inferred from the dynamic feature selection logic (lines 97-104 of 14_churn_model.py). The actual features are ALL numeric columns of gold_customer_360_v2 that pass: (1) no exclude pattern (customer_id/date/_at/ref_date) and (2) >=50% non-null rate. The exact set is non-deterministic across runs because gold_customer_360_v2 column presence and null rates depend on the last time 04b was executed. MLflow logs n_features=7 for the champion run.",,,,,
CHURN_FEATURES_DESIRED (dead code),retail_gold.gold_customer_360_v2,14_churn_model.py,"total_spend, total_transactions, days_since_purchase, engagement_score_raw, loyalty_tier, latest_nps_score, avg_csat_score, digital_propensity_tier","DEAD CODE — defined at lines 60-71 but NEVER USED in actual feature selection (line 102 uses a dynamic filter on numeric columns instead). The pipeline ignores this curated list entirely.",no,"n/a — dead code"
churn_target (target label),computed in-memory,14_churn_model.py (not persisted),"days_since_purchase, total_transactions (or purchase_frequency), engagement_score_raw, latest_nps_score","Composite: recency_norm×0.4 + (1-engagement_norm)×0.3 + (1-freq_norm)×0.2 + (1-nps_norm)×0.1; top-30% quantile threshold (p70) → binary label; global normalization (/.max()) applied BEFORE train/test split — leaking test statistics into normalization denominators",no,"yes — CRITICAL. The normalization denominators (recency.max(), engagement.max(), freq.max()) are computed on the full dataset including test rows. Removing any customer from the test set would change all normalized values and therefore the binary labels."
